,FIPS_Code,State,Area_Name,Rural_Urban_Continuum_Code_2013,Urban_Influence_Code_2013,Metro_2013,Median_Household_Income_2021,year,Employed,Unemployed
0,01001,AL,Autauga,2,2,1,66444,2000,20971,890
1,01003,AL,Baldwin,3,2,1,65658,2000,67370,2609
2,01005,AL,Barbour,6,6,0,38649,2000,10812,637
3,01007,AL,Bibb,1,1,1,48454,2000,8160,463
4,01009,AL,Blount,1,1,1,56894,2000,24375,891
5,01011,AL,Bullock,6,6,0,32027,2000,3656,341
6,01013,AL,Butler,6,6,0,39442,2000,8496,725
7,01015,AL,Calhoun,3,2,1,48166,2000,50522,2722
8,01017,AL,Chambers,6,5,0,45447,2000,16709,777
9,01019,AL,Cherokee,6,6,0,46365,2000,10862,516
10,01021,AL,Chilton,1,1,1,55142,2000,18752,849
11,01023,AL,Choctaw,9,10,0,40601,2000,5815,411
12,01025,AL,Clarke,7,11,0,45447,2000,10814,863
13,01027,AL,Clay,9,10,0,47036,2000,6199,409
14,01029,AL,Cleburne,8,4,0,49769,2000,6715,287
15,01031,AL,Coffee,4,5,0,55052,2000,18861,1176
16,01033,AL,Colbert,3,2,1,53341,2000,24657,1467
17,01035,AL,Conecuh,7,11,0,35621,2000,5158,363
18,01037,AL,Coosa,8,3,0,45954,2000,5038,291
19,01039,AL,Covington,6,6,0,44188,2000,16221,1215
20,01041,AL,Crenshaw,8,6,0,38037,2000,5800,355
21,01043,AL,Cullman,4,3,0,55036,2000,37274,1624
22,01045,AL,Dale,4,5,0,50086,2000,19820,1103
23,01047,AL,Dallas,4,5,0,33159,2000,16487,1461
24,01049,AL,DeKalb,6,6,0,45062,2000,31194,1322
25,01051,AL,Elmore,2,2,1,63147,2000,29944,1251
26,01053,AL,Escambia,6,6,0,40506,2000,15348,851
27,01055,AL,Etowah,3,2,1,46308,2000,45652,2844
28,01057,AL,Fayette,6,6,0,46122,2000,7839,493
29,01059,AL,Franklin,6,6,0,45440,2000,13756,973
30,01061,AL,Geneva,3,2,1,43206,2000,11631,630
31,01063,AL,Greene,8,6,0,30225,2000,3291,243
32,01065,AL,Hale,3,2,1,41995,2000,6596,427
33,01067,AL,Henry,3,2,1,56389,2000,7302,382
34,01069,AL,Houston,3,2,1,48701,2000,43444,2020
35,01071,AL,Jackson,6,5,0,46998,2000,26612,1471
36,01073,AL,Jefferson,1,1,1,55210,2000,317868,13273
37,01075,AL,Lamar,8,7,0,44265,2000,6970,527
38,01077,AL,Lauderdale,3,2,1,52222,2000,41531,2202
39,01079,AL,Lawrence,3,2,1,55555,2000,15843,839
40,01081,AL,Lee,3,2,1,54188,2000,56042,2354
41,01083,AL,Limestone,2,2,1,69207,2000,31770,1269
42,01085,AL,Lowndes,2,2,1,36993,2000,4732,355
43,01087,AL,Macon,6,6,0,35354,2000,8606,533
44,01089,AL,Madison,2,2,1,78386,2000,144268,5358
45,01091,AL,Marengo,7,11,0,42048,2000,8594,478
46,01093,AL,Marion,7,11,0,44636,2000,13339,963
47,01095,AL,Marshall,4,5,0,50858,2000,38836,1973
48,01097,AL,Mobile,2,2,1,49848,2000,176895,9276
49,01099,AL,Monroe,7,11,0,40997,2000,9669,674
50,01101,AL,Montgomery,2,2,1,50645,2000,101919,4496
51,01103,AL,Morgan,3,2,1,56340,2000,54205,2409
52,01105,AL,Perry,8,4,0,31522,2000,3747,385
53,01107,AL,Pickens,3,2,1,43926,2000,8000,657
54,01109,AL,Pike,6,5,0,38945,2000,13364,789
55,01111,AL,Randolph,6,4,0,45889,2000,9534,492
56,01113,AL,Russell,2,2,1,44849,2000,21109,1033
